day,scheduledTime,channel,format,title,caption,tags,firstComment,cta,png,audio,video,status
1,D+1 20:30,小红书,图文笔记,我用30秒声音记录了一周状态变化,我把声音当成一个日常状态记录入口。固定时间、固定文本、固定环境，比偶尔测一次更有参考价值。VoiceHealth 的报告只用于健康管理参考，真正不舒服还是要及时就医。,#声音健康 #健康管理 #睡眠压力 #生活方式打卡 #AI健康,建议第一周只看趋势，不要盯着单次分数。录音前先确认环境安静、距离一致。,想试的人可以从免费体验开始，先建立自己的声音基线。,assets/marketing/xiaohongshu/xhs-001.png,,,ready_for_manual_publish
2,D+2 12:20,抖音,30秒短视频,声音状态三步演示,30秒朗读后看趋势，不看单次结论。声音、睡眠、饮食、运动一起记录，才更接近真实状态。,#声音状态 #AI健康 #健康管理 #抖音健康科普 #生活方式,本工具用于健康管理参考，不替代体检、诊断和医生建议。,点击主页体验30秒声音健康参考。,assets/marketing/douyin/dy-001.png,assets/marketing/douyin/dy-001.mp3,assets/marketing/douyin/dy-001.mp4,ready_for_manual_publish
3,D+3 18:40,数字人,45秒口播,数字人版产品说明,AI数字人说明：VoiceHealth 用30秒声音记录帮助观察状态趋势，所有结果仅作健康管理参考。,#AI数字人 #声音健康 #健康管理参考 #VoiceHealth #健康科普,本视频由AI生成，内容不构成医学诊断、治疗或用药建议。,现在开始建立你的个人声音基线。,assets/marketing/digital-human/avatar-001.png,assets/marketing/digital-human/avatar-001.mp3,assets/marketing/digital-human/avatar-001.mp4,ready_for_manual_publish
4,D+4 20:30,小红书,图文笔记,熬夜后，我的声音状态有什么变化,熬夜后不要急着给自己下结论，先把声音、睡眠、饮水和压力放在同一张表里看。,#熬夜恢复 #声音健康 #睡眠管理 #健康打卡 #AI健康,录音建议放在起床后相对固定的时间，不要刚运动完或刚吃完辛辣刺激食物。,保存这条，试试连续7天声音基线记录。,assets/marketing/xiaohongshu/xhs-002.png,,,ready_for_manual_publish
5,D+5 12:20,抖音,30秒短视频,办公室压力大，声音会不会先变化,办公室人群可以从声音基线开始，记录压力和恢复，而不是等到状态明显崩掉才调整。,#职场压力 #声音健康 #健康管理 #AI工具 #自我管理,如果有持续胸闷、呼吸困难、明显不适，请优先线下就医。,今天下班前录一次，和睡眠压力打卡一起看。,assets/marketing/douyin/dy-002.png,assets/marketing/douyin/dy-002.mp3,assets/marketing/douyin/dy-002.mp4,ready_for_manual_publish
6,D+6 18:40,数字人,45秒口播,健康参考边界说明,AI数字人合规口播：先讲清边界，再讲产品价值。,#AI数字人 #健康科普 #合规说明 #声音健康 #健康管理,本视频由AI数字人生成，所有内容仅供健康管理参考。,理性使用报告，把它当成生活方式复盘工具。,assets/marketing/digital-human/avatar-002.png,assets/marketing/digital-human/avatar-002.mp3,assets/marketing/digital-human/avatar-002.mp4,ready_for_manual_publish
7,D+7 20:30,小红书,复盘笔记,第一周声音基线复盘：我只看三件事,第一周复盘模板：同一时间录音、记录睡眠压力饮食运动、只看趋势。,#7天打卡 #声音基线 #健康复盘 #生活方式 #AI健康,适合想观察状态的人，不适合作为疾病判断依据。,评论区打卡，我把7天复盘模板整理出来。,assets/marketing/xiaohongshu/xhs-003.png,,,ready_for_manual_publish
8,D+8 12:20,抖音,30秒短视频,运动后为什么别马上复测声音,声音复测也要讲条件控制。运动后等呼吸恢复，再看趋势更靠谱。,#运动健康 #声音健康 #健康管理 #复测技巧 #AI健康,如果运动后持续胸痛、气短或头晕，请优先寻求医疗帮助。,运动后30分钟再测，结果更适合对比。,assets/marketing/douyin/dy-003.png,assets/marketing/douyin/dy-003.mp3,assets/marketing/douyin/dy-003.mp4,ready_for_manual_publish
9,D+9 18:40,数字人,45秒口播,饮水和嗓音稳定,AI数字人科普：嗓音波动先看饮水、休息、刺激性饮食和睡眠。,#嗓音管理 #饮水打卡 #AI数字人 #声音健康 #健康科普,如果出现持续声音嘶哑、吞咽困难或其他明显不适，请及时咨询专业医生。,今天记录一次饮水和嗓音状态。,assets/marketing/digital-human/avatar-003.png,assets/marketing/digital-human/avatar-003.mp3,assets/marketing/digital-human/avatar-003.mp4,ready_for_manual_publish
10,D+10 20:30,小红书,知识卡片,报告里的音高、能量、停顿怎么读,看懂指标，才不会被单次分数带偏。我会把它当成健康管理参考，而不是疾病判断。连续记录比偶尔测一次更有价值。,#声音健康 #健康管理 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,收藏后复测对照,assets/marketing/xiaohongshu/xhs-004.png,,,ready_for_manual_publish
11,D+11 12:20,抖音,产品演示,健康学院音频课程怎么听,健康学院音频课程怎么听：先记录，再复盘。结果只用于健康管理参考，不替代医生和体检。,#声音健康 #健康管理 #健康学院 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,打开健康学院,assets/marketing/douyin/dy-004.png,assets/marketing/douyin/dy-004.mp3,assets/marketing/douyin/dy-004.mp4,ready_for_manual_publish
12,D+12 18:40,数字人,口播,如何避免录音误差,AI数字人科普：如何避免录音误差。内容仅用于健康管理参考。,#声音健康 #健康管理 #AI数字人,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,按标准录一次,assets/marketing/digital-human/avatar-004.png,assets/marketing/digital-human/avatar-004.mp3,assets/marketing/digital-human/avatar-004.mp4,ready_for_manual_publish
13,D+13 20:30,小红书,体验笔记,用声音记录压力高的一天,把主观压力和声音趋势放在一起看。我会把它当成健康管理参考，而不是疾病判断。连续记录比偶尔测一次更有价值。,#声音健康 #健康管理 #压力管理 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,填写压力打卡,assets/marketing/xiaohongshu/xhs-005.png,,,ready_for_manual_publish
14,D+14 12:20,抖音,短视频,家庭成员如何一起记录,家庭成员如何一起记录：先记录，再复盘。结果只用于健康管理参考，不替代医生和体检。,#声音健康 #健康管理 #家庭健康 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,建立家庭档案,assets/marketing/douyin/dy-005.png,assets/marketing/douyin/dy-005.mp3,assets/marketing/douyin/dy-005.mp4,ready_for_manual_publish
15,D+15 18:40,数字人,口播,改善闭环是什么,AI数字人科普：改善闭环是什么。内容仅用于健康管理参考。,#声音健康 #健康管理 #AI数字人,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,生成一周计划,assets/marketing/digital-human/avatar-005.png,assets/marketing/digital-human/avatar-005.mp3,assets/marketing/digital-human/avatar-005.mp4,ready_for_manual_publish
16,D+16 20:30,小红书,图文笔记,声音健康参考适合哪些人,想观察压力、睡眠、嗓音和恢复状态的人。我会把它当成健康管理参考，而不是疾病判断。连续记录比偶尔测一次更有价值。,#声音健康 #健康管理 #睡眠管理 #压力管理 #嗓音管理,如果持续声音嘶哑、吞咽困难或明显不适，请及时咨询专业医生。,先免费体验,assets/marketing/xiaohongshu/xhs-006.png,,,ready_for_manual_publish
17,D+17 12:20,抖音,短视频,一分钟看懂改善计划,一分钟看懂改善计划：先记录，再复盘。结果只用于健康管理参考，不替代医生和体检。,#声音健康 #健康管理 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,保存行动计划,assets/marketing/douyin/dy-006.png,assets/marketing/douyin/dy-006.mp3,assets/marketing/douyin/dy-006.mp4,ready_for_manual_publish
18,D+18 18:40,数字人,口播,数字人合规声明模板,AI数字人科普：数字人合规声明模板。内容仅用于健康管理参考。,#声音健康 #健康管理 #AI数字人,本内容只做健康管理参考，不构成医学诊断、治疗或用药建议。,查看完整说明,assets/marketing/digital-human/avatar-006.png,assets/marketing/digital-human/avatar-006.mp3,assets/marketing/digital-human/avatar-006.mp4,ready_for_manual_publish
19,D+19 20:30,小红书,知识卡片,嗓音疲劳时先做这三件事,补水、减少刺激、安排发声休息。我会把它当成健康管理参考，而不是疾病判断。连续记录比偶尔测一次更有价值。,#声音健康 #健康管理 #嗓音管理 #AI健康,如果持续声音嘶哑、吞咽困难或明显不适，请及时咨询专业医生。,记录嗓音状态,assets/marketing/xiaohongshu/xhs-007.png,,,ready_for_manual_publish
20,D+20 12:20,抖音,短视频,为什么不能说确诊和治愈,为什么不能说确诊和治愈：先记录，再复盘。结果只用于健康管理参考，不替代医生和体检。,#声音健康 #健康管理 #AI健康,本内容只做健康管理参考，不构成医学诊断、治疗或用药建议。,理性看报告,assets/marketing/douyin/dy-007.png,assets/marketing/douyin/dy-007.mp3,assets/marketing/douyin/dy-007.mp4,ready_for_manual_publish
21,D+21 18:40,数字人,口播,API合作场景,AI数字人科普：API合作场景。内容仅用于健康管理参考。,#声音健康 #健康管理 #商业合作 #AI数字人,商务试点需完成合规审查、数据授权、隐私告知和场景边界确认。,联系商务试点,assets/marketing/digital-human/avatar-007.png,assets/marketing/digital-human/avatar-007.mp3,assets/marketing/digital-human/avatar-007.mp4,ready_for_manual_publish
22,D+22 20:30,小红书,复盘笔记,连续三周声音趋势变化,变化背后往往是睡眠和压力习惯。我会把它当成健康管理参考，而不是疾病判断。连续记录比偶尔测一次更有价值。,#声音健康 #健康管理 #睡眠管理 #压力管理 #AI健康,建议连续记录趋势，不要把单次分数当成健康结论。明显不适请及时就医。,加入复测挑战,assets/marketing/xiaohongshu/xhs-008.png,,,ready_for_manual_publish
23,D+23 12:20,抖音,产品演示,打卡和报告怎么联动,打卡和报告怎么联动：先记录，再复盘。结果只用于健康管理参考，不替代医生和体检。,#声音健康 #健康管理 #睡眠管理 #运动健康 #AI健康,运动后如果持续胸痛、气短、头晕或明显不适，请优先寻求医疗帮助。,打开每日打卡,assets/marketing/douyin/dy-008.png,assets/marketing/douyin/dy-008.mp3,assets/marketing/douyin/dy-008.mp4,ready_for_manual_publish
